 0.79956, -0.58264,  0.07703
 0.81042, -0.58148,  0.07098
 0.80359, -0.58417,  0.08136
 0.80127, -0.58398,  0.06799
 0.80420, -0.58331,  0.06628
 0.79877, -0.57898,  0.07043
 0.80280, -0.58557,  0.08282
 0.80328, -0.58252,  0.08209
 0.80328, -0.57959,  0.07837
 0.80139, -0.58405,  0.08234
 0.79388, -0.58270,  0.07684
 0.79907, -0.58307,  0.07831
 0.81244, -0.58167,  0.07373
 0.80084, -0.58313,  0.08496
 0.79187, -0.58276,  0.07947
 0.80634, -0.58228,  0.06836
 0.79901, -0.58252,  0.07391
 0.79303, -0.58325,  0.07452
 0.80951, -0.58331,  0.07581
 0.80432, -0.58356,  0.06580
 0.79291, -0.58502,  0.08356
 0.80743, -0.58246,  0.08417
 0.80133, -0.58221,  0.08374
 0.78729, -0.58069,  0.07617
 0.80383, -0.58417,  0.08093
 0.80121, -0.58105,  0.08331
 0.79327, -0.58276,  0.06537
 0.80408, -0.58374,  0.07581
 0.80939, -0.58344,  0.07611
 0.78827, -0.58362,  0.07507
 0.80139, -0.58417,  0.06555
 0.80835, -0.58087,  0.08636
 0.79889, -0.58282,  0.07056
 0.80353, -0.58203,  0.07855
 0.80927, -0.58167,  0.08081
 0.79431, -0.58307,  0.08002
 0.79803, -0.58276,  0.07739
 0.80438, -0.58301,  0.07318
 0.79791, -0.58160,  0.07703
 0.80164, -0.58417,  0.08289
 0.79700, -0.58478,  0.08551
 0.79608, -0.58118,  0.08008
 0.79114, -0.58557,  0.08478
 0.79767, -0.58362,  0.08447
 0.81146, -0.58228,  0.08966
 0.80438, -0.58099,  0.08344
 0.79590, -0.58014,  0.08386
 0.81421, -0.58282,  0.07355
 0.80249, -0.58118,  0.06647
 0.79028, -0.58093,  0.07111
 0.81097, -0.58203,  0.08240
 0.80664, -0.58008,  0.08203
 0.79218, -0.58331,  0.07806
 0.80072, -0.58112,  0.07489
 0.80176, -0.58356,  0.07648
 0.79401, -0.58514,  0.07050
